ProbeSet,LocusLink,Symbol,GeneID
11715201_s_at,,LOC100288289 || LOC100288325 || LOC100288355 || LOC100288398 || LOC100288433 || LOC100288466 || LOC100288494 || LOC100288523 || LOC100288557 || LOC100288593 || LOC100288627 || LOC100288657 || DUX4L* || LOC100653046 || DUX4 || DUX2 || DUX4L4 || DUX4L7 || DUX4L6 || DUX4L5 || DUX4L3 || DUX4L2,LOC100288289 || LOC100288325 || LOC100288355 || LOC100288398 || LOC100288433 || LOC100288466 || LOC100288494 || LOC100288523 || LOC100288557 || LOC100288593 || LOC100288627 || LOC100288657 || DUX4L* || LOC100653046 || DUX4 || DUX2 || DUX4L4 || DUX4L7 || DUX4L6 || DUX4L5 || DUX4L3 || DUX4L2_11715201_s_at
11715202_s_at,LOC9338,TCEAL1,TCEAL1_11715202_s_at
11715203_s_at,LOC344905,ATP13A5,ATP13A5_11715203_s_at
11715204_x_at,LOC8338,HIST2H2AC,HIST2H2AC_11715204_x_at
11715205_x_at,LOC5672,PSG4,PSG4_11715205_x_at
11715206_x_at,LOC5672,PSG4,PSG4_11715206_x_at
11715207_at,LOC57705,WDFY4,WDFY4_11715207_at
11715208_s_at,LOC1185,CLCN6,CLCN6_11715208_s_at
11715209_s_at,LOC51282,SCAND1,SCAND1_11715209_s_at
11715210_s_at,LOC55228,PNMAL1,PNMAL1_11715210_s_at
11715211_s_at,LOC340252,ZNF680,ZNF680_11715211_s_at
11715212_x_at,LOC51282,SCAND1,SCAND1_11715212_x_at
11715213_s_at,,DUX5 || DUX3 || DUX1,DUX5 || DUX3 || DUX1_11715213_s_at
11715214_at,LOC57787,MARK4,MARK4_11715214_at
11715215_s_at,LOC131890,GRK7,GRK7_11715215_s_at
11715216_s_at,LOC54490,UGT2B28,UGT2B28_11715216_s_at
11715217_s_at,LOC80168,MOGAT2,MOGAT2_11715217_s_at
11715218_s_at,LOC8933,FAM127A,FAM127A_11715218_s_at
11715219_s_at,LOC8329,HIST1H2AI,HIST1H2AI_11715219_s_at
11715220_s_at,LOC80304,C2ORF44,C2ORF44_11715220_s_at
11715221_x_at,LOC55695,NSUN5,NSUN5_11715221_x_at
11715222_at,LOC260425,MAGI3,MAGI3_11715222_at
11715223_s_at,LOC122665,RNASE8,RNASE8_11715223_s_at
11715224_s_at,LOC55289,ACOXL,ACOXL_11715224_s_at
11715225_s_at,LOC51542,VPS54,VPS54_11715225_s_at
11715226_s_at,LOC56142,PCDHA6,PCDHA6_11715226_s_at
11715227_s_at,LOC56141,PCDHA7,PCDHA7_11715227_s_at
11715228_s_at,LOC123264,SLC51B,SLC51B_11715228_s_at
11715229_s_at,LOC80852,GRIP2,GRIP2_11715229_s_at
11715230_s_at,LOC50855,PARD6A,PARD6A_11715230_s_at
11715231_x_at,LOC25873,RPL36,RPL36_11715231_x_at
11715232_x_at,LOC25873,RPL36,RPL36_11715232_x_at
11715233_s_at,LOC84221,SPATC1L,SPATC1L_11715233_s_at
11715234_s_at,LOC7349,UCN,UCN_11715234_s_at
11715235_x_at,LOC440567,UQCRHL*,UQCRHL*_11715235_x_at
11715236_s_at,LOC26025,PCDHGA12,PCDHGA12_11715236_s_at
11715237_s_at,LOC6133,RPL9,RPL9_11715237_s_at
11715238_x_at,LOC6133,RPL9,RPL9_11715238_x_at
11715239_x_at,LOC10410,IFITM3,IFITM3_11715239_x_at
11715240_at,LOC7738,ZNF184,ZNF184_11715240_at
11715241_s_at,LOC353134,LCE1D,LCE1D_11715241_s_at
11715242_s_at,LOC84648,LCE3D,LCE3D_11715242_s_at
11715243_x_at,LOC353137,LCE1F,LCE1F_11715243_x_at
11715244_x_at,LOC353131,LCE1A,LCE1A_11715244_x_at
11715245_s_at,LOC3543,IGLL1,IGLL1_11715245_s_at
11715246_x_at,LOC575,BAI1,BAI1_11715246_x_at
11715247_s_at,LOC9681,DEPDC5,DEPDC5_11715247_s_at
11715248_s_at,LOC7180,CRISP2,CRISP2_11715248_s_at
11715249_s_at,,LOC101060230 || MAGEA12,LOC101060230 || MAGEA12_11715249_s_at
11715250_s_at,LOC285600,KIAA0825,KIAA0825_11715250_s_at
11715251_at,LOC56548,CHST7,CHST7_11715251_at
11715252_at,LOC51319,RSRC1,RSRC1_11715252_at
11715253_s_at,,KRTAP10-10 || KRTAP10-6,KRTAP10-10 || KRTAP10-6_11715253_s_at
11715254_s_at,LOC613211,DEFB134,DEFB134_11715254_s_at
11715255_s_at,LOC259293,TAS2R30,TAS2R30_11715255_s_at
11715256_at,LOC170626,XAGE3,XAGE3_11715256_at
11715257_x_at,LOC170626,XAGE3,XAGE3_11715257_x_at
11715258_s_at,LOC5763,PTMS,PTMS_11715258_s_at
11715259_s_at,LOC3442,IFNA5,IFNA5_11715259_s_at
11715260_at,LOC51093,RRNAD1,RRNAD1_11715260_at
11715261_s_at,,LOC101060301 || LOC649330,LOC101060301 || LOC649330_11715261_s_at
11715262_at,LOC4543,MTNR1A,MTNR1A_11715262_at
11715263_at,LOC79925,SPEF2,SPEF2_11715263_at
11715264_s_at,LOC2837,UTS2R,UTS2R_11715264_s_at
11715265_at,LOC9896,FIG4,FIG4_11715265_at
11715266_s_at,LOC342372,PKD1L3,PKD1L3_11715266_s_at
11715267_s_at,LOC83481,EPPK1,EPPK1_11715267_s_at
11715268_s_at,,SEPT5-GP1BB* || GP1BB,SEPT5-GP1BB* || GP1BB_11715268_s_at
11715269_x_at,LOC200810,ALG1L,ALG1L_11715269_x_at
11715270_s_at,LOC8609,KLF7,KLF7_11715270_s_at
11715271_s_at,,LOC100288289 || LOC100288325 || LOC100288355 || LOC100288398 || LOC100288433 || LOC100288466 || LOC100288494 || LOC100288523 || LOC100288557 || LOC100288593 || LOC100288627 || LOC100288657 || DUX4L* || LOC100653046 || DUX4 || DUX2 || DUX4L4 || DUX4L7 || DUX4L6 || DUX4L5 || DUX4L3 || DUX4L2,LOC100288289 || LOC100288325 || LOC100288355 || LOC100288398 || LOC100288433 || LOC100288466 || LOC100288494 || LOC100288523 || LOC100288557 || LOC100288593 || LOC100288627 || LOC100288657 || DUX4L* || LOC100653046 || DUX4 || DUX2 || DUX4L4 || DUX4L7 || DUX4L6 || DUX4L5 || DUX4L3 || DUX4L2_11715271_s_at
